description;mission_id;difficulty
"""Após ter conseguido retirar da nobreza o poder político que ela detinha enquanto ordem, os soberanos a atraíram para a corte e lhe atribuíram funções políticas e diplomáticas"". Esta frase, extraída da obra de Max Weber, ""POLÍTICA COMO VOCAÇÃO"", refere-se ao processo que, no Ocidente:";5;4
O início da Época Moderna está ligado a um processo geral de transformações humanística, artística, cultural e política. A concentração do poder promoveu um tipo de Estado. Para alguns pensadores da época, que procuraram fundamentar o Absolutismo:;6;3
Dentre os itens constantes desta questão, um deles não faz parte dos acontecimentos importantes que assinalam a chegada da Idade Moderna. O item é:;6;3
Dentre as instituições políticas do Estado Moderno, aquela que mais o caracteriza é o:;6;3
Assinale a opção que expressa corretamente uma prática dos Estados Modernos Absolutos europeus nos séculos XV - XVIII:;6;4
"Principalmente a partir do século XVI vários autores passam a desenvolver teorias, justificando o poder real. São os legistas que, através de doutrinas leigas ou religiosas, tentam legalizar o Absolutismo. Um deles é Maquiavel: afirma que a obrigação suprema do governante é manter o poder e a segurança do país que governa. Para isso deve usar de todos os meios disponíveis pois que ""os fins justificam os meios."" Professou suas idéias na famosa obra:";6;4
"A famosa frase atribuída a Luis XIV: ""O Estado sou eu"", define:";6;4
Os Tratados de Westfália (Münster e Osnabruch), que puseram fim à Guerra dos Trinta Anos (1618-1648), tiveram ampla repercussão, tendo em vista que;6;5
Acerca do Absolutismo na Inglaterra, NÃO é possível afirmar que:;6;5
Uma tartaruga caminha, em linha reta, a 40 metros/hora, por um tempo de 15 minutos. Qual a distância percorrida?;7;1
Um veleiro deixa o porto navegando 70 km em direção leste. Em seguida, para atingir seu destino, navega mais 100 km na direção nordeste. Desprezando a curvatura da terra e admitindo que todos os deslocamentos são coplanares, determine o deslocamento total do veleiro em relação ao porto de origem. (Considere ?2 = 1,40 e ?5 = 2,20);7;1
Uma empresa de transportes precisa efetuar a entrega de uma encomenda o mais breve possível. Para tanto, a equipe de logística analisa o trajeto desde a empresa até o local da entrega. Ela verifica que o trajeto apresenta dois trechos de distâncias diferentes e velocidades máximas permitidas diferentes. No primeiro trecho, a velocidade máxima permitida é de 80 km/h e a distância a ser percorrida é de 80 km. No segundo trecho, cujo comprimento vale 60 km, a velocidade máxima permitida é 120 km/h. Supondo que as condições de trânsito sejam favoráveis para que o veículo da empresa ande continuamente na velocidade máxima permitida, qual será o tempo necessário, em horas, para a realização da entrega?;7;2
Um ônibus percorreu 20 km a 60 km/h e 60 km a 90 km/h. Determine a velocidade escalar média do ônibus nos 80 km percorridos. Considere que, em cada trecho, o ônibus sempre manteve velocidade constante.;8;2
Um atleta correndo ultrapassa um trem com 100 metros de comprimento, que se move vagarosamente no mesmo sentido. A velocidade do corredor é o dobro da velocidade do trem. Em relação ao solo, qual é o espaço percorrido pelo atleta, desde o instante em que alcança a traseira da composição até o instante em que a ultrapassa?;8;2
De um telhado caem gotas de chuva, separadas por intervalos de tempo iguais entre si. No momento em que a 5ª gota se desprende, a primeira toca o solo. Qual a distância que separa as duas últimas gotas (4ª e 5ª) nesse instante, se a altura do telhado é de 20 m? Adote g = 10 m/s² e despreze a resistência do ar.;8;2
Em um local onde o efeito do ar é desprezível e g = 10 m/s², uma bola de tênis é golpeada por uma raquete adquirindo uma velocidade de módulo 10 m/s quando estava a uma altura de 1,0 m acima do chão. A altura máxima atingida pela bola, medida a partir do chão, foi de 4,75 m. Determine o módulo da velocidade da bola no ponto mais alto de sua trajetória.;8;3
Um ventilador gira à razão de 900 rpm. Ao ser desligado, seu movimento passa a ser uniformemente retardado, até parar após 75 voltas. Qual o tempo transcorrido desde o momento do desligamento até a parada completa?;8;3
